Child ASIN,SKU,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Average Selling Price
B08AAA111,SJ-CHAIR-01,Premium Massage Chair Deluxe,1450,2100,92,38,2.6,1197400,31510
B08AAA112,SJ-CHAIR-02,Premium Massage Chair Compact,980,1400,89,22,2.2,660440,30020
B08AAA113,SJ-CUSHION-01,Ergonomic Lumbar Support Cushion,2200,2900,95,145,6.6,362250,2498
B08AAA114,SJ-CUSHION-02,Travel Neck Support Pillow,1890,2500,91,168,8.9,251160,1495
B08AAA115,SJ-MAT-01,Acupressure Relief Mat,1120,1600,88,4,0.4,15960,3990
B08AAA116,SJ-MAT-02,Foldable Yoga Mat Premium,340,410,75,0,0,0,2199
B08AAA117,SJ-BELT-01,Posture Correction Belt,890,1150,82,0,0,0,1299
B08AAA118,SJ-BELT-02,Lumbar Support Belt XL,410,520,79,0,0,0,1599
B08AAA119,SJ-ROLLER-01,Foam Roller 45cm,120,180,60,3,2.5,5697,1899
B08AAA120,SJ-ROLLER-02,Foam Roller Travel Size,95,140,58,0,0,0,999
B08AAA121,SJ-GLOVE-01,Compression Gloves Pair,60,85,50,0,0,0,799
B08AAA122,SJ-BAND-01,Resistance Band Set,150,210,65,1,0.7,999,999
B08AAA123,SJ-CHAIR-03,Executive Massage Chair Pro,610,890,90,9,1.5,269910,29990
B08AAA124,SJ-CUSHION-03,Coccyx Support Cushion,780,1020,86,52,6.7,129896,2498
B08AAA125,SJ-MISC-01,Heating Pad Large,45,70,55,0,0,0,1499
